"vesselID_randomized","year","cpue_pred","year.SZ","diesel_volume","diesel_usd","days","fishers","simpson.div","richness","beta.bray","fishing.area.km2","median.latitude","median.longitude","boatsize","boatpower","income","income_perday","income_perkg","revenue_per_fisher_perday","revenue_per_fisher_perday_perkg","cpue_obs","cpue_base","cpue_diff"
57,"2011",125.641524997312,"2011.545",0.152024162895043,145.637341101728,3,4.33333333333333,0.593407960038239,4.6,0.702109216989309,2395.68,-4.29761904761905,56.1071428571429,7,24,9169.42247312817,3056.47415770939,22.9616703577423,59.1906171923191,3.99936602650805,138.466666666667,105.781472427042,19.8600525702693
57,"2012",140.985107816777,"2012.545",0.167824840804013,164.468343987933,1.5,3.28571428571429,0.575245114582755,3.75,0.604636744276403,3080.16,-3.99074074074074,55.9166666666667,7,24,6652.37279280826,4642.48221841878,28.1732212316222,180.500959292062,4.45065860643444,162.928333333333,105.781472427042,35.2036353897352
57,"2013",135.487646164392,"2013.545",0.258415050264151,270.416024653313,3,4.5,0.683789752128577,5,0.852394916911046,NA,NA,NA,7,24,6379.96813443012,2126.65604481004,21.924289121753,194.279228814511,0.449720437070627,97,105.781472427042,29.70617373735
57,"2014",118.829467091547,"2014.545",0.164562072592275,184.834719407366,3,2.125,0.737156382160707,7,0.809171597633136,NA,NA,NA,7,24,14402.2857703959,4800.76192346531,35.2997200254802,46.952659552077,0.167437514067775,136,105.781472427042,13.0479946645044
57,"2015",106.857615444626,"2015.545",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,24,NA,NA,NA,NA,NA,NA,105.781472427042,1.07614301758389
57,"2016",103.809494809039,"2016.545",0.246293653303412,92.5653646998658,2.33333333333333,2.05263157894737,0.627405170796516,4.66666666666667,0.472355326207151,NA,NA,NA,7,24,9408.07723347468,3787.18071041012,53.1641399976901,231.507947357032,0.538550997994246,71.1222222222222,105.781472427042,-1.97197761800284
19,"2005",310.452871304857,"2005.554",0.101807141505268,62.4272727272727,NA,NA,NA,NA,NA,NA,NA,NA,9.144,34,NA,NA,NA,NA,NA,NA,321.808056963673,-11.3551856588161
19,"2006",283.003518423372,"2006.554",0.144343649329373,91.5266530603288,2,2.17647058823529,0.504103620108077,4.2,0.721648941771086,NA,NA,NA,9.144,34,14541.5240566079,9005.3627046056,21.9041974184133,222.759918363368,1.46244694303681,388.466666666667,321.808056963673,-38.8045385403007
19,"2007",227.785000721356,"2007.554",0.130617705116645,80.5528944847407,2,2,0.748047367094986,6,0.808219178082192,NA,NA,NA,9.144,34,9652.34099721291,4826.17049860645,19.1514702325653,409.162257094757,2.33697173262507,252,321.808056963673,-94.0230562423165
19,"2008",195.984431188237,"2008.554",0.0646796416019309,71.7106875556561,2.5,2,0.607824038006263,5,0.488487424725469,NA,NA,NA,9.144,34,11617.4367771723,4981.63495747027,20.5726961895048,547.337463657945,7.93242700953543,235.25,321.808056963673,-125.823625775436
